Date,Tweet_Volume,Log_Returns
2018-01-02,128,0.008264803
2018-01-03,128,0.014509469
2018-01-04,152,0.011458348
2018-01-05,122,0.003607743
2018-01-08,104,0.001331389
2018-01-09,131,-0.007818713
2018-01-10,154,-0.005923499
2018-01-11,141,0.003185876
2018-01-12,133,-0.003366961
2018-01-15,131,0.003465091
2018-01-16,126,-0.004719603
2018-01-17,118,0.007365859
2018-01-18,132,0.011455522
2018-01-19,148,0.002174146
2018-01-22,144,0.007098291
2018-01-23,155,-0.010740635
2018-01-24,135,-0.008713374
2018-01-25,122,0.003139032
2018-01-26,115,-0.001176798
2018-01-29,133,-0.009559653
2018-01-30,113,-0.000623749
2018-01-31,135,-0.014170235
2018-02-01,166,-0.016964207
2018-02-02,184,-0.007668648
2018-02-05,144,-0.023512113
2018-02-06,234,0.015832602
2018-02-07,134,-0.026571389
2018-02-08,199,-0.012542105
2018-02-09,174,0.014373947
2018-02-12,150,-0.007048404
2018-02-13,115,0.011628932
2018-02-14,144,0.00056793
2018-02-15,122,0.00853215
2018-02-16,121,-0.005343561
2018-02-19,127,0.008225731
2018-02-20,162,-0.001395135
2018-02-21,167,-0.000688267
2018-02-22,190,0.001754201
2018-02-23,149,0.003458505
2018-02-26,143,-0.002902704
2018-02-27,163,-0.004403408
2018-02-28,154,-0.019890311
2018-03-01,204,-0.023003254
2018-03-02,257,0.014760798
2018-03-05,215,0.001900455
2018-03-06,217,0.010796032
2018-03-07,217,0.00895988
2018-03-08,152,-0.000719823
2018-03-09,103,0.005791234
2018-03-12,131,-0.01602015
2018-03-13,146,0.001366378
2018-03-14,143,0.008771811
2018-03-15,120,0.003559354
2018-03-16,127,-0.01402578
2018-03-19,115,0.007365003
2018-03-20,105,0.000147894
2018-03-21,105,-0.017130849
2018-03-22,181,-0.017824789
2018-03-23,157,-0.008368014
2018-03-26,181,0.015453596
2018-03-27,168,-0.002519297
2018-03-28,191,0.01298164
2018-03-29,166,-0.007824395
2018-04-03,157,-0.003718631
2018-04-04,155,0.028628979
2018-04-05,194,-0.005208168
2018-04-06,185,0.001671669
2018-04-09,175,0.010995684
2018-04-10,126,-0.008371469
2018-04-11,118,0.00979733
2018-04-12,116,0.002203821
2018-04-13,142,-0.004106523
2018-04-16,121,0.015547441
2018-04-17,132,0.000417833
2018-04-18,126,-0.001861033
2018-04-19,119,-0.002144338
2018-04-20,117,0.002539705
2018-04-23,139,-0.001717085
2018-04-24,129,-0.010292798
2018-04-25,156,0.006272993
2018-04-26,117,0.006411194
2018-04-27,109,0.002480076
2018-04-30,114,0.014963445
2018-05-02,146,-0.008794804
2018-05-03,115,0.010149087
2018-05-04,103,0.009976902
2018-05-07,138,-0.002778749
2018-05-08,115,0.002386332
2018-05-09,117,0.006147348
2018-05-10,123,-0.001662296
2018-05-11,94,-0.001811488
2018-05-14,117,-0.000591182
2018-05-15,128,0.002024931
2018-05-16,123,0.009059887
2018-05-17,131,-0.002816905
2018-05-18,118,0.007025437
2018-05-22,130,-0.014769217
2018-05-23,127,-0.009426388
2018-05-24,140,0.006429643
2018-05-25,125,-0.005778742
2018-05-28,111,-0.015429247
2018-05-29,172,0.009214113
2018-05-30,124,-0.014090791
2018-05-31,119,0.009426351
2018-06-01,119,0.003646243
2018-06-04,100,0.001281787
2018-06-05,155,0.003352472
2018-06-06,143,-0.001483594
2018-06-07,112,-0.003479611
2018-06-08,158,0.005963466
2018-06-11,146,-4.75e-05
2018-06-12,126,0.003752423
2018-06-13,102,0.01665722
2018-06-14,127,-0.007393487
2018-06-15,151,-0.013654054
2018-06-18,154,-0.012240678
2018-06-19,143,0.001355011
2018-06-20,127,-0.014539828
2018-06-21,159,0.005404969
2018-06-22,130,-0.024901812
2018-06-25,160,-0.002937421
2018-06-26,118,0.009296796
2018-06-27,133,-0.013975682
2018-06-28,145,0.010519095
2018-06-29,114,-0.005527199
2018-07-02,158,0.009026647
2018-07-03,113,-0.002556422
2018-07-04,108,0.011837785
2018-07-05,124,0.002554432
2018-07-06,95,0.003811475
2018-07-09,139,0.005244557
2018-07-10,122,-0.015401262
2018-07-11,123,0.006089103
2018-07-12,94,0.00381572
2018-07-13,100,0.001616546
2018-07-16,126,0.007970725
2018-07-17,125,0.008211665
2018-07-18,134,-0.006258835
