Date,Tweet_Volume,Volume
2018-01-02,128,86049300
2018-01-03,128,84809300
2018-01-04,152,101199400
2018-01-05,122,112555000
2018-01-08,104,95005300
2018-01-09,131,94770400
2018-01-10,154,120334900
2018-01-11,141,110577300
2018-01-12,133,87893300
2018-01-15,131,58326200
2018-01-16,126,85801600
2018-01-17,118,88144100
2018-01-18,132,89644100
2018-01-19,148,108147200
2018-01-22,144,95295700
2018-01-23,155,97239000
2018-01-24,135,105385100
2018-01-25,122,106119200
2018-01-26,115,75829200
2018-01-29,133,78822500
2018-01-30,113,115152700
2018-01-31,135,111852500
2018-02-01,166,122880100
2018-02-02,184,140869300
2018-02-05,144,113937900
2018-02-06,234,204856800
2018-02-07,134,153471100
2018-02-08,199,153991900
2018-02-09,174,175812900
2018-02-12,150,120024900
2018-02-13,115,94601100
2018-02-14,144,130713000
2018-02-15,122,111934900
2018-02-16,121,104230500
2018-02-19,127,66917000
2018-02-20,162,87127600
2018-02-21,167,83382600
2018-02-22,190,104173000
2018-02-23,149,97926500
2018-02-26,143,78303000
2018-02-27,163,89864600
2018-02-28,154,93391300
2018-03-01,204,113680600
2018-03-02,257,120480800
2018-03-05,215,109920600
2018-03-06,217,104517000
2018-03-07,217,92920300
2018-03-08,152,97759800
2018-03-09,103,96109700
2018-03-12,131,136801400
2018-03-13,146,131887900
2018-03-14,143,104202200
2018-03-15,120,106658200
2018-03-16,127,212840100
2018-03-19,115,97309700
2018-03-20,105,72907500
2018-03-21,105,108917200
2018-03-22,181,138428600
2018-03-23,157,145617800
2018-03-26,181,99857900
2018-03-27,168,98677800
2018-03-28,191,113396700
2018-03-29,166,111589200
2018-04-03,157,95226700
2018-04-04,155,107305000
2018-04-05,194,109092300
2018-04-06,185,87009100
2018-04-09,175,77287300
2018-04-10,126,99355700
2018-04-11,118,98812700
2018-04-12,116,82053600
2018-04-13,142,76693800
2018-04-16,121,62656800
2018-04-17,132,85350700
2018-04-18,126,83029000
2018-04-19,119,70668500
2018-04-20,117,111680200
2018-04-23,139,78154600
2018-04-24,129,106073600
2018-04-25,156,108576800
2018-04-26,117,119856800
2018-04-27,109,110470000
2018-04-30,114,96521000
2018-05-02,146,110911800
2018-05-03,115,98817100
2018-05-04,103,99070000
2018-05-07,138,64800000
2018-05-08,115,95587900
2018-05-09,117,102677600
2018-05-10,123,72155400
2018-05-11,94,83673800
2018-05-14,117,77168000
2018-05-15,128,106592400
2018-05-16,123,104171700
2018-05-17,131,92016400
2018-05-18,118,124262900
2018-05-22,130,109116500
2018-05-23,127,105439100
2018-05-24,140,143763000
2018-05-25,125,104044700
2018-05-28,111,69766800
2018-05-29,172,153964500
2018-05-30,124,122609400
2018-05-31,119,184309000
2018-06-01,119,123414600
2018-06-04,100,84511600
2018-06-05,155,107898300
2018-06-06,143,106976800
2018-06-07,112,94068000
2018-06-08,158,115025300
2018-06-11,146,108719300
2018-06-12,126,100645600
2018-06-13,102,105696700
2018-06-14,127,136091200
2018-06-15,151,257670500
2018-06-18,154,89102600
2018-06-19,143,102502200
2018-06-20,127,89617400
2018-06-21,159,111154800
2018-06-22,130,83725600
2018-06-25,160,98566500
2018-06-26,118,62457100
2018-06-27,133,127889100
2018-06-28,145,107207500
2018-06-29,114,114043400
2018-07-02,158,93436600
2018-07-03,113,93526400
2018-07-04,108,78417600
2018-07-05,124,114460400
2018-07-06,95,123080000
2018-07-09,139,74724300
2018-07-10,122,81853500
2018-07-11,123,84350300
2018-07-12,94,72314800
2018-07-13,100,82980000
2018-07-16,126,97107500
2018-07-17,125,91976300
2018-07-18,134,87635000
2018-07-19,126,75493900
2018-07-20,103,106490300
2018-07-23,101,65205400
2018-07-24,129,90068800
2018-07-25,113,80817800
2018-07-26,154,105931000
2018-07-27,126,95634400
2018-07-30,107,70725000
2018-07-31,132,106509800
2018-08-01,147,93510500
2018-08-02,166,103271900
2018-08-03,98,79345300
2018-08-06,171,65599400
2018-08-07,144,87114600
2018-08-08,165,89371000
2018-08-09,132,71701900
2018-08-10,163,124410000
2018-08-13,142,92773600
2018-08-14,125,82021800
2018-08-15,128,99703000
2018-08-16,100,81469900
2018-08-17,100,86038300
2018-08-20,123,59670900
2018-08-21,92,68597400
2018-08-22,107,77192800
2018-08-23,127,63669000
2018-08-24,83,59051400
2018-08-27,83,52201900
2018-08-28,85,72899400
2018-08-29,137,58192500
2018-08-30,117,73686200
2018-08-31,141,90277000
2018-09-03,93,50769600
2018-09-04,115,84476300
2018-09-05,119,109489900
2018-09-06,138,87442600
2018-09-07,118,101789700
2018-09-10,137,80490500
2018-09-11,117,95920000
2018-09-12,95,112286500
2018-09-13,103,97093400
2018-09-14,84,77747100
2018-09-17,131,69270000
2018-09-18,82,84144700
2018-09-19,62,98540100
