Date,Tweet_Volume,Log_Returns
2018-01-02,142,0.00300277
2018-01-03,137,0.003227673
2018-01-04,203,0.003670576
2018-01-05,160,-0.003592603
2018-01-08,147,0.00447254
2018-01-09,151,0.002261056
2018-01-10,153,0.001856687
2018-01-11,132,0.002020423
2018-01-12,137,-0.001222046
2018-01-15,137,-0.001700509
2018-01-16,138,-0.003940243
2018-01-17,126,-0.003163398
2018-01-18,131,0.003862134
2018-01-19,134,-0.001994006
2018-01-22,123,0.00212335
2018-01-23,161,-0.011499152
2018-01-24,167,-0.003617507
2018-01-25,160,0.006504731
2018-01-26,120,0.000782422
2018-01-29,106,-0.010944111
2018-01-30,161,-0.007195024
2018-01-31,155,-0.005750841
2018-02-01,161,-0.006294467
2018-02-02,155,-0.014670309
2018-02-05,228,-0.02674859
2018-02-06,487,0.019139606
2018-02-07,235,-0.015045122
2018-02-08,264,-0.010979532
2018-02-09,272,0.011871641
2018-02-12,186,-0.00126874
2018-02-13,184,0.006396907
2018-02-14,172,0.002879107
2018-02-15,159,0.008245395
2018-02-16,128,-0.00646388
2018-02-19,153,-0.000124239
2018-02-20,189,0.004790667
2018-02-21,153,-0.004018197
2018-02-22,196,-0.001103692
2018-02-23,162,0.006219945
2018-02-26,161,-0.000974478
2018-02-27,146,-0.006972428
2018-02-28,156,-0.007815387
2018-03-01,171,-0.014840074
2018-03-02,211,0.006499448
2018-03-05,169,0.004318907
2018-03-06,179,0.001537967
2018-03-07,169,0.006322755
2018-03-08,175,0.002952629
2018-03-09,174,-0.001343583
2018-03-12,174,-0.010589777
2018-03-13,208,-0.000854796
2018-03-14,174,0.000994866
2018-03-15,162,0.003397719
2018-03-16,140,-0.017062453
2018-03-19,242,0.00260914
2018-03-20,182,-0.003163028
2018-03-21,197,-0.01235041
2018-03-22,231,-0.00442542
2018-03-23,192,-0.004807868
2018-03-26,197,0.016042032
2018-03-27,219,0.00635114
2018-03-28,231,0.001687774
2018-03-29,248,-0.003705536
2018-04-03,145,0.000497707
2018-04-04,182,0.023256045
2018-04-05,177,-0.002210915
2018-04-06,156,0.001557852
2018-04-09,155,0.009957487
2018-04-10,186,-0.001335689
2018-04-11,151,0.000165301
2018-04-12,134,0.000867636
2018-04-13,155,-0.009182229
2018-04-16,158,0.003868463
2018-04-17,172,0.012541896
2018-04-18,158,0.001584042
2018-04-19,171,0.005348046
2018-04-20,170,0.004157858
2018-04-23,149,0.003575215
2018-04-24,163,-0.006227785
2018-04-25,155,0.005688949
2018-04-26,133,0.010828631
2018-04-27,160,0.000945889
2018-04-30,140,0.001477089
2018-05-01,135,0.003027206
2018-05-02,134,-0.005383539
2018-05-03,136,0.008546934
2018-05-04,157,-0.00017185
2018-05-08,151,0.012700235
2018-05-09,160,0.005011889
2018-05-10,193,0.003059864
2018-05-11,149,-0.001762173
2018-05-14,161,0.001555009
2018-05-15,151,0.001449188
2018-05-16,147,0.00693201
2018-05-17,176,-0.001182028
2018-05-18,142,0.010282785
2018-05-21,253,0.00232575
2018-05-22,234,-0.01137516
2018-05-23,206,-0.009248598
2018-05-24,183,0.00176081
2018-05-25,172,-0.012719086
2018-05-29,175,0.007440219
2018-05-30,188,-0.001483609
2018-05-31,275,0.003068872
2018-06-01,164,0.005115565
2018-06-04,155,-0.00706506
2018-06-05,190,0.003324864
2018-06-06,164,-0.001037829
2018-06-07,211,-0.003028803
2018-06-08,146,0.007302922
2018-06-11,166,-0.004352013
2018-06-12,152,-1.29e-05
2018-06-13,157,0.008028694
2018-06-14,194,-0.01713061
2018-06-15,162,-0.000340657
2018-06-18,172,-0.003596925
2018-06-19,174,0.003085754
2018-06-20,171,-0.009352141
2018-06-21,179,0.016524083
2018-06-22,168,-0.022710148
2018-06-25,200,0.003734807
2018-06-26,157,0.011055852
2018-06-27,168,-0.00080068
2018-06-28,144,0.002792961
2018-06-29,136,-0.011722383
2018-07-02,161,0.005996888
2018-07-03,138,-0.002663746
2018-07-04,109,0.003966729
2018-07-05,120,0.001905276
2018-07-06,148,0.009186159
2018-07-09,184,0.000520156
2018-07-10,149,-0.013085766
2018-07-11,152,0.007780481
2018-07-12,113,0.00138444
2018-07-13,130,-0.008045947
2018-07-16,142,0.00338874
2018-07-17,159,0.006534861
2018-07-18,136,0.00100261
2018-07-19,149,-0.000676985
2018-07-20,139,-0.002999755
2018-07-23,128,0.006937957
2018-07-24,146,-0.00661146
2018-07-25,182,0.000639675
2018-07-26,143,0.004959444
2018-07-27,162,-5.19e-05
2018-07-30,143,0.006200775
2018-07-31,174,-0.012453319
2018-08-01,191,-0.010112505
2018-08-02,207,0.010922353
2018-08-03,145,0.000613423
2018-08-06,154,0.007112126
2018-08-07,153,0.007512064
2018-08-08,205,-0.004497915
2018-08-09,131,-0.009708789
2018-08-10,187,-0.00320063
2018-08-13,147,-0.004051363
2018-08-14,115,-0.015050444
2018-08-15,224,0.007771905
2018-08-16,154,0.000291127
2018-08-17,146,0.004316828
2018-08-20,164,-0.003377929
2018-08-21,132,0.001122861
2018-08-22,143,-0.001453354
2018-08-23,165,0.001888923
2018-08-24,114,0.005225544
2018-08-28,129,-0.007114467
2018-08-29,179,-0.006260325
2018-08-30,155,-0.011185273
2018-08-31,212,0.009667371
2018-09-03,147,-0.006242319
2018-09-04,158,-0.010053193
2018-09-05,190,-0.00874696
2018-09-06,159,-0.005658802
2018-09-07,180,0.000219772
2018-09-10,171,-0.000797071
2018-09-11,160,0.005470662
2018-09-12,139,-0.004357637
2018-09-13,134,0.003071512
2018-09-14,131,-0.000260152
2018-09-17,169,-0.00026022
2018-09-18,140,0.004223814
2018-09-19,155,0.004925676
2018-09-20,166,0.016544263
2018-09-21,159,-0.004254625
2018-09-24,145,0.006574953
2018-09-25,132,0.000519326
2018-09-26,156,0.004502914
2018-09-27,147,-0.004675971
2018-09-28,155,-0.001932574
2018-10-01,130,-0.00281893
2018-10-02,162,0.004764767
2018-10-03,142,-0.012325492
2018-10-04,145,-0.013544505
2018-10-05,151,-0.011710052
2018-10-08,157,0.000594337
2018-10-09,200,-0.012778869
2018-10-10,219,-0.019615441
2018-10-11,216,-0.001571115
2018-10-12,170,0.00474868
2018-10-15,192,0.004287119
2018-10-16,159,-0.000680148
2018-10-17,134,-0.003920028
2018-10-18,156,0.003239348
2018-10-19,158,-0.000993429
2018-10-22,142,-0.012516181
2018-10-23,190,0.001120807
2018-10-24,211,0.00588529
2018-10-25,153,-0.009251556
2018-10-26,175,0.012416074
2018-10-29,195,0.001365377
2018-10-30,182,0.013019133
2018-10-31,165,-0.001881639
2018-11-01,166,-0.002899627
2018-11-02,145,0.001366358
2018-11-05,164,-0.0089222
2018-11-06,152,0.010820788
2018-11-07,188,0.003282426
2018-11-08,130,-0.004969881
2018-11-09,131,-0.007373707
2018-11-12,171,9.92e-05
2018-11-13,183,-0.002839378
2018-11-14,171,0.000596966
2018-11-15,250,-0.003430158
2018-11-16,208,-0.001855182
2018-11-19,200,-0.007599257
2018-11-20,204,0.014616571
2018-11-21,193,-0.012833464
2018-11-22,203,-0.001063724
2018-11-23,186,0.011881002
2018-11-26,211,-0.002718316
2018-11-27,165,-0.001768711
2018-11-28,176,0.004913315
2018-11-29,162,-0.008388517
2018-11-30,194,0.011707326
2018-12-03,205,-0.005622952
2018-12-04,190,-0.014486148
2018-12-05,190,-0.031956529
2018-12-06,338,0.010977547
2018-12-07,257,-0.008385497
2018-12-10,242,0.012625445
2018-12-11,178,0.01071096
2018-12-12,221,-0.000392536
2018-12-13,172,-0.004707509
2018-12-14,177,-0.010574028
2018-12-17,239,-0.010627359
2018-12-18,188,0.009548958
2018-12-19,216,-0.00801322
2018-12-20,187,0.001384683
2018-12-21,190,-0.005250951
2018-12-24,139,-0.015266982
2018-12-27,150,0.022420515
2018-12-28,169,-0.00087652
2018-12-31,170,0.000906249
