Date,Tweet_Volume,Volume
2018-01-02,142,576251800
2018-01-03,137,571662800
2018-01-04,203,705864000
2018-01-05,160,636035700
2018-01-08,147,635135400
2018-01-09,151,709674500
2018-01-10,153,861758600
2018-01-11,132,982791800
2018-01-12,137,1133867000
2018-01-15,137,551904700
2018-01-16,138,824367900
2018-01-17,126,822508200
2018-01-18,131,765527900
2018-01-19,134,795594100
2018-01-22,123,730171300
2018-01-23,161,742420200
2018-01-24,167,746643300
2018-01-25,160,713251600
2018-01-26,120,713831300
2018-01-29,106,612924000
2018-01-30,161,798999000
2018-01-31,155,880751700
2018-02-01,161,872509100
2018-02-02,155,871574000
2018-02-05,228,888994600
2018-02-06,487,1354591000
2018-02-07,235,1027400300
2018-02-08,264,973611300
2018-02-09,272,927291900
2018-02-12,186,718740600
2018-02-13,184,718988800
2018-02-14,172,940537000
2018-02-15,159,747830200
2018-02-16,128,651756200
2018-02-19,153,511199000
2018-02-20,189,679057900
2018-02-21,153,902872700
2018-02-22,196,926221400
2018-02-23,162,674864300
2018-02-26,161,585774600
2018-02-27,146,718147000
2018-02-28,156,919954800
2018-03-01,171,859756500
2018-03-02,211,910442200
2018-03-05,169,941867700
2018-03-06,179,786141900
2018-03-07,169,862383600
2018-03-08,175,712676800
2018-03-09,174,651119000
2018-03-12,174,613077900
2018-03-13,208,766738500
2018-03-14,174,752181500
2018-03-15,162,808062300
2018-03-16,140,1380663300
2018-03-19,242,728214400
2018-03-20,182,742142200
2018-03-21,197,762202300
2018-03-22,231,861231600
2018-03-23,192,879273700
2018-03-26,197,765318100
2018-03-27,219,690975500
2018-03-28,231,763193100
2018-03-29,248,876227900
2018-04-03,145,790532700
2018-04-04,182,794337900
2018-04-05,177,794899100
2018-04-06,156,656250500
2018-04-09,155,671088200
2018-04-10,186,755081700
2018-04-11,151,766200800
2018-04-12,134,666773400
2018-04-13,155,662868400
2018-04-16,158,862881700
2018-04-17,172,714046100
2018-04-18,158,877056200
2018-04-19,171,788416300
2018-04-20,170,769512800
2018-04-23,149,777571800
2018-04-24,163,836399400
2018-04-25,155,879795200
2018-04-26,133,814899700
2018-04-27,160,750485000
2018-04-30,140,991178200
2018-05-01,135,567569600
2018-05-02,134,829699300
2018-05-03,136,723643100
2018-05-04,157,880646600
2018-05-08,151,876829900
2018-05-09,160,891351200
2018-05-10,193,878774100
2018-05-11,149,731924200
2018-05-14,161,749899600
2018-05-15,151,1027698700
2018-05-16,147,933498300
2018-05-17,176,781296600
2018-05-18,142,899946200
2018-05-21,253,691927400
2018-05-22,234,807636300
2018-05-23,206,918822700
2018-05-24,183,890463600
2018-05-25,172,844360200
2018-05-29,175,1288493000
2018-05-30,188,923820700
2018-05-31,275,1549063100
2018-06-01,164,783469400
2018-06-04,155,722966000
2018-06-05,190,933666200
2018-06-06,164,884617800
2018-06-07,211,1056744900
2018-06-08,146,755489900
2018-06-11,166,736070400
2018-06-12,152,773837800
2018-06-13,157,852427100
2018-06-14,194,1119081700
2018-06-15,162,1711560200
2018-06-18,172,664167900
2018-06-19,174,897872000
2018-06-20,171,844000100
2018-06-21,179,777562300
2018-06-22,168,716273100
2018-06-25,200,791358000
2018-06-26,157,1088107300
2018-06-27,168,1643638600
2018-06-28,144,790762300
2018-06-29,136,898931000
2018-07-02,161,778437000
2018-07-03,138,1015952400
2018-07-04,109,574163100
2018-07-05,120,614456600
2018-07-06,148,663475300
2018-07-09,184,676761100
2018-07-10,149,701511200
2018-07-11,152,793208100
2018-07-12,113,746183900
2018-07-13,130,574401200
2018-07-16,142,591161000
2018-07-17,159,724367500
2018-07-18,136,651377100
2018-07-19,149,695398600
2018-07-20,139,685061200
2018-07-23,128,573514400
2018-07-24,146,852532800
2018-07-25,182,677528100
2018-07-26,143,588851200
2018-07-27,162,765238000
2018-07-30,143,732990700
2018-07-31,174,915075400
2018-08-01,191,975009600
2018-08-02,207,1006803400
2018-08-03,145,649947700
2018-08-06,154,813731500
2018-08-07,153,675716300
2018-08-08,205,604063500
2018-08-09,131,565689200
2018-08-10,187,664153400
2018-08-13,147,595242100
2018-08-14,115,763645300
2018-08-15,224,967014400
2018-08-16,154,771423800
2018-08-17,146,602739600
2018-08-20,164,559541000
2018-08-21,132,543548500
2018-08-22,143,611259200
2018-08-23,165,574932100
2018-08-24,114,507869800
2018-08-28,129,585715100
2018-08-29,179,688677800
2018-08-30,155,623166000
2018-08-31,212,812932000
2018-09-03,147,455166900
2018-09-04,158,652803100
2018-09-05,190,769494800
2018-09-06,159,723693100
2018-09-07,180,863004900
2018-09-10,171,696321800
2018-09-11,160,644115800
2018-09-12,139,677165600
2018-09-13,134,660719700
2018-09-14,131,577288900
2018-09-17,169,620997300
2018-09-18,140,700366200
2018-09-19,155,762448100
2018-09-20,166,864910500
2018-09-21,159,1504423700
2018-09-24,145,689612600
2018-09-25,132,767955100
2018-09-26,156,672358800
2018-09-27,147,646428000
2018-09-28,155,915815000
2018-10-01,130,728276800
2018-10-02,162,817840400
2018-10-03,142,824628100
2018-10-04,145,801963200
2018-10-05,151,743757800
2018-10-08,157,675287300
2018-10-09,200,765996800
2018-10-10,219,1029488500
2018-10-11,216,1172373200
2018-10-12,170,876577500
2018-10-15,192,657640100
2018-10-16,159,766800500
2018-10-17,134,685937100
2018-10-18,156,672072000
2018-10-19,158,793925800
2018-10-22,142,784032400
2018-10-23,190,983305900
2018-10-24,211,778187100
2018-10-25,153,831568200
2018-10-26,175,779028300
