Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-01-02 09:00:00,-0.126825,4,5318.74,5318.75,5284.58,5284.76,0.0009173123959329752
2018-01-02 09:30:00,0.0,2,5283.23,5295.0,5282.75,5289.61,-0.001186045660861448
2018-01-02 10:00:00,0.1735,2,5289.78,5289.83,5282.49,5283.34,-0.003448838275441169
2018-01-02 10:30:00,0.0,3,5284.31,5286.06,5258.66,5265.15,0.0009662671046886524
2018-01-02 11:00:00,-0.17020000000000002,3,5265.07,5273.25,5262.83,5270.24,-0.000871307557384357
2018-01-02 11:30:00,0.0,1,5270.15,5271.46,5265.18,5265.65,0.0005183201606828905
2018-01-02 12:00:00,0.0,1,5265.7,5270.94,5263.31,5268.38,-0.0003796954129051409
2018-01-02 12:30:00,0.0,0,5268.53,5269.38,5264.06,5266.38,0.002078963391954275
2018-01-02 13:00:00,0.0,0,5266.91,5277.71,5266.02,5277.34,-1.894911971927177e-05
2018-01-02 13:30:00,0.6712,2,5277.05,5281.67,5275.93,5277.24,0.0010568122755620023
2018-01-02 14:00:00,-0.5423,1,5277.3,5282.86,5276.64,5282.82,-0.001487053909308153
2018-01-02 14:30:00,0.0,1,5282.81,5282.88,5274.97,5274.97,0.00016870710685510645
2018-01-02 15:00:00,-0.37683333333333335,3,5273.75,5278.65,5271.87,5275.86,0.0013827042970001697
2018-01-02 15:30:00,0.0,1,5275.79,5283.17,5267.02,5283.16,0.001703966151419404
2018-01-02 16:00:00,0.0,2,5283.75,5295.59,5283.75,5292.17,-0.00024189601235202448
2018-01-02 16:30:00,0.0,2,5292.12,5294.61,5285.15,5290.89,-0.0022270565240181416
2018-01-02 17:00:00,0.0,3,5290.52,5293.73,5275.77,5279.12,0.0017941433995168233
2018-01-02 17:30:00,0.0,1,5279.65,5288.6,5279.65,5288.6,0.0038216787333398596
2018-01-03 09:00:00,0.11333333333333334,3,5295.31,5310.76,5295.25,5308.85,-0.0006802279119922981
2018-01-03 09:30:00,-0.09106666666666667,3,5307.0,5308.4,5300.5,5305.24,-0.0005203757381005863
2018-01-03 10:00:00,0.11566666666666665,3,5304.8,5311.69,5299.99,5302.48,-0.0003282021905833965
2018-01-03 10:30:00,0.0,3,5302.31,5304.92,5291.89,5300.74,0.0008542326992841312
2018-01-03 11:00:00,0.0,2,5300.8,5308.03,5298.54,5305.27,0.0008384370142009914
2018-01-03 11:30:00,-0.1468,3,5304.81,5311.15,5302.87,5309.72,0.000621308646574648
2018-01-03 12:00:00,0.10115,2,5309.65,5313.96,5306.08,5313.02,-0.0006401422087363257
2018-01-03 12:30:00,-0.2202,2,5312.86,5312.86,5306.56,5309.62,0.0001337106108895771
2018-01-03 13:00:00,0.0,1,5309.32,5310.38,5305.62,5310.33,0.000596771615148059
2018-01-03 13:30:00,0.0,0,5310.29,5313.84,5306.95,5313.5,0.0002728525813256169
2018-01-03 14:00:00,0.0,0,5313.38,5317.48,5311.58,5314.95,-0.0008093661035113121
2018-01-03 14:30:00,0.0,0,5314.63,5314.96,5308.02,5310.65,0.0014093798522344326
2018-01-03 15:00:00,-0.2294,2,5310.63,5318.15,5310.62,5318.14,0.0007838014770962391
2018-01-03 15:30:00,0.0,1,5317.64,5324.67,5316.5,5322.31,0.0027993721574027467
2018-01-03 16:00:00,0.0,3,5321.36,5338.46,5321.35,5337.23,-0.00013303665554210249
2018-01-03 16:30:00,0.0,1,5337.43,5347.63,5334.66,5336.52,0.0003859448671337238
2018-01-03 17:00:00,0.3387,3,5336.32,5340.67,5333.49,5338.58,-0.0013683405666085062
2018-01-03 17:30:00,0.1806,2,5337.91,5337.92,5331.27,5331.28,0.008107677917590367
2018-01-04 09:00:00,-0.2787,2,5360.01,5376.78,5360.0,5374.68,-3.5351566682878845e-05
2018-01-04 09:30:00,0.0,1,5374.85,5376.75,5371.7,5374.49,0.0002511550821409523
2018-01-04 10:00:00,0.1735,2,5374.02,5378.34,5374.02,5375.84,0.0005039802457155276
2018-01-04 10:30:00,0.0,4,5376.23,5385.17,5375.64,5378.55,-0.00039051604401453565
2018-01-04 11:00:00,0.0,1,5376.91,5378.04,5375.0,5376.45,0.001315987766106676
2018-01-04 11:30:00,0.0,2,5376.42,5383.65,5374.25,5383.53,0.0015424067382318204
2018-01-04 12:00:00,0.0,2,5383.44,5392.17,5382.74,5391.84,0.0008212745789578795
2018-01-04 12:30:00,0.296,1,5391.88,5396.52,5389.65,5396.27,0.0007057941171156257
2018-01-04 13:00:00,0.6817,2,5396.29,5401.8,5395.85,5400.08,-5.3704350157822415e-05
2018-01-04 13:30:00,0.5267,1,5400.73,5401.48,5397.23,5399.79,0.000781206652217976
2018-01-04 14:00:00,0.0,0,5400.05,5407.9,5400.04,5404.01,0.0014571143213643633
2018-01-04 14:30:00,0.0,0,5403.6,5412.55,5402.39,5411.89,0.0009474638507036339
2018-01-04 15:00:00,0.0,0,5412.19,5422.88,5411.16,5417.02,-0.0012117317792630818
2018-01-04 15:30:00,0.0,1,5417.03,5418.04,5403.94,5410.46,0.0019756977221346687
2018-01-04 16:00:00,0.2667,4,5411.38,5421.17,5407.22,5421.16,0.0001475590054248672
2018-01-04 16:30:00,0.0,2,5421.68,5430.73,5418.46,5421.96,-0.0017961661399553566
2018-01-04 17:00:00,0.0,1,5421.73,5422.1,5410.25,5412.23,0.00026972303672140996
